frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
176,192.0,free_fly,6.7678,0.0000,0.0000,0.0000,0.0000,0.0000,6.7546,0.0119,361,13549,0.0000,6.7299,0,0
177,192.0,free_fly,6.6628,0.0000,0.0000,0.0000,0.0000,0.0000,6.6414,0.0208,361,13549,0.0000,6.6175,0,0
178,192.0,free_fly,7.6240,0.0000,0.0000,0.0000,0.0000,0.0000,7.5971,0.0253,361,13549,0.0000,7.5656,0,0
179,192.0,free_fly,6.8497,0.0000,0.0000,0.0000,0.0000,0.0001,6.8361,0.0121,361,13549,0.0000,6.8098,0,0
180,192.0,free_fly,6.6959,0.0001,0.0000,0.0000,0.0000,0.0000,6.6742,0.0209,361,13549,0.0000,6.6502,0,0
181,192.0,free_fly,6.6629,0.0000,0.0000,0.0000,0.0000,0.0000,6.6493,0.0124,361,13549,0.0000,6.6260,0,0
182,192.0,free_fly,6.6465,0.0000,0.0000,0.0000,0.0000,0.0000,6.6239,0.0221,361,13549,0.0000,6.6006,0,0
183,192.0,free_fly,6.6854,0.0001,0.0000,0.0000,0.0000,0.0000,6.6634,0.0207,361,13549,0.0000,6.6382,0,0
184,192.0,free_fly,6.9330,0.0000,0.0000,0.0000,0.0000,0.0000,6.9103,0.0215,361,13549,0.0000,6.8843,0,0
185,192.0,free_fly,6.7230,0.0001,0.0000,0.0000,0.0000,0.0000,6.7093,0.0125,361,13549,0.0000,6.6855,0,0
186,192.0,free_fly,6.6600,0.0000,0.0000,0.0000,0.0000,0.0000,6.6479,0.0117,361,13549,0.0000,6.6263,0,0
187,192.0,free_fly,6.7020,0.0000,0.0000,0.0000,0.0000,0.0001,6.6815,0.0200,361,13549,0.0000,6.6584,0,0
188,192.0,free_fly,6.6647,0.0000,0.0000,0.0000,0.0000,0.0001,6.6518,0.0118,361,13549,0.0000,6.6282,0,0
189,192.0,free_fly,6.6687,0.0000,0.0000,0.0000,0.0000,0.0000,6.6441,0.0241,361,13549,0.0000,6.6178,0,0
190,192.0,free_fly,6.7852,0.0000,0.0000,0.0000,0.0000,0.0001,6.7611,0.0227,361,13549,0.0000,6.7353,0,0
191,192.0,free_fly,6.6924,0.0000,0.0000,0.0000,0.0000,0.0001,6.6683,0.0228,361,13549,0.0000,6.6435,0,0
192,192.0,free_fly,6.6651,0.0001,0.0000,0.0000,0.0000,0.0000,6.6516,0.0123,361,13549,0.0000,6.6284,0,0
193,192.0,free_fly,6.6984,0.0000,0.0000,0.0000,0.0000,0.0000,6.6764,0.0215,361,13549,0.0000,6.6524,0,0
194,192.0,free_fly,6.6902,0.0000,0.0000,0.0000,0.0000,0.0000,6.6670,0.0219,361,13549,0.0000,6.6424,0,0
