col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
1176,-0.864,-2.033,-2.173,-1.311,-0.296,-99.000,0.000,no_far
1180,-0.871,-2.031,-2.173,-1.355,-0.361,-99.000,0.000,no_far
1184,-0.885,-2.030,-2.174,-1.381,-0.492,-99.000,0.000,no_far
1188,-0.900,-2.028,-2.174,-1.400,-0.557,-99.000,0.000,no_far
1192,-0.915,-2.026,-2.174,-1.400,-0.555,-99.000,0.000,no_far
1196,-0.930,-2.024,-2.175,-1.401,-0.553,-99.000,0.000,no_far
1200,-0.945,-2.023,-2.175,-1.401,-0.552,-99.000,0.000,no_far
1204,-0.960,-2.021,-2.175,-1.400,-0.615,-99.000,0.000,no_far
1208,-0.975,-2.019,-2.176,-1.400,-0.613,-99.000,0.000,no_far
1212,-0.990,-2.017,-2.176,-1.400,-0.611,-99.000,0.000,no_far
1216,-1.005,-2.015,-2.176,-1.400,-0.545,-99.000,0.000,no_far
1220,-1.020,-2.012,-2.176,-1.400,-0.543,-99.000,0.000,no_far
1224,-1.035,-2.010,-2.177,-1.399,-0.606,-99.000,0.000,no_far
1228,-1.050,-2.007,-2.177,-1.399,-0.604,-99.000,0.000,no_far
1232,-1.065,-2.005,-2.177,-1.399,-0.602,-99.000,0.000,no_far
1236,-1.080,-2.002,-2.177,-1.399,-0.664,-99.000,0.000,no_far
1240,-1.096,-1.999,-2.178,-1.398,-0.662,-99.000,0.000,no_far
1244,-1.111,-1.996,-2.178,-1.398,-0.723,-99.000,0.000,no_far
1248,-1.126,-1.993,-2.178,-1.398,-0.784,-99.000,0.000,no_far
1252,-1.141,-1.989,-2.178,-1.398,-0.844,-99.000,0.000,no_far
1256,-1.157,-1.986,-2.178,-1.397,-0.904,-99.000,0.000,no_far
1260,-1.172,-1.984,-2.179,-1.397,-0.901,-99.000,0.000,no_far
