frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
136,192.0,free_fly,10.8194,0.0000,0.0000,0.0000,3.8334,0.0001,6.9633,0.0213,190,13549,0.0000,6.9066,0,24
137,192.0,free_fly,10.7637,0.0000,0.0000,0.0000,3.5798,0.0003,7.1616,0.0207,212,13549,0.0000,7.1004,0,22
138,192.0,free_fly,10.8168,0.0000,0.0000,0.0000,3.6855,0.0003,7.1100,0.0198,235,13549,0.0000,7.0482,0,23
139,192.0,free_fly,10.7734,0.0000,0.0000,0.0000,3.8892,0.0003,6.8699,0.0130,260,13549,0.0000,6.8049,0,25
140,192.0,free_fly,10.7467,0.0001,0.0000,0.0000,3.5525,0.0004,7.1727,0.0207,282,13549,0.0000,7.1182,0,22
141,192.0,free_fly,10.8277,0.0000,0.0000,0.0000,3.5851,0.0003,7.2210,0.0202,307,13549,0.0000,7.1673,0,25
142,192.0,free_fly,10.7783,0.0000,0.0000,0.0000,3.9054,0.0003,6.8512,0.0204,333,13549,0.0000,6.7959,0,26
143,192.0,free_fly,10.7781,0.0000,0.0000,0.0000,3.3568,0.0003,7.3986,0.0214,355,13549,0.0000,7.3408,0,22
144,192.0,free_fly,8.8381,0.0000,0.0000,0.0000,1.0597,0.0005,7.7561,0.0208,361,13549,0.0000,7.7090,0,6
145,192.0,free_fly,7.2954,0.0001,0.0000,0.0000,0.0000,0.0003,7.2697,0.0241,361,13549,0.0000,7.2396,0,0
146,192.0,free_fly,6.8480,0.0000,0.0000,0.0000,0.0000,0.0004,6.8344,0.0122,361,13549,0.0000,6.8086,0,0
147,192.0,free_fly,6.7299,0.0000,0.0000,0.0000,0.0000,0.0001,6.7177,0.0116,361,13549,0.0000,6.6942,0,0
148,192.0,free_fly,6.8977,0.0000,0.0000,0.0000,0.0000,0.0000,6.8745,0.0226,361,13549,0.0000,6.8494,0,0
149,192.0,free_fly,6.8084,0.0000,0.0000,0.0000,0.0000,0.0001,6.7947,0.0121,361,13549,0.0000,6.7703,0,0
150,192.0,free_fly,6.9757,0.0001,0.0000,0.0000,0.0000,0.0001,6.9523,0.0228,361,13549,0.0000,6.9247,0,0
151,192.0,free_fly,6.8503,0.0001,0.0000,0.0000,0.0000,0.0000,6.8370,0.0119,361,13549,0.0000,6.8123,0,0
152,192.0,free_fly,6.8749,0.0001,0.0000,0.0000,0.0000,0.0001,6.8521,0.0223,361,13549,0.0000,6.8276,0,0
153,192.0,free_fly,8.2580,0.0000,0.0000,0.0000,0.0000,0.0000,8.2246,0.0319,361,13549,0.0000,8.1643,0,0
154,192.0,free_fly,11.7765,0.0000,0.0000,0.0000,0.0000,0.0001,11.7355,0.0381,361,13549,0.0000,11.6594,0,0
155,192.0,free_fly,12.1962,0.0001,0.0000,0.0000,0.0000,0.0001,12.1603,0.0321,361,13549,0.0000,12.0899,0,0
156,192.0,free_fly,12.0618,0.0000,0.0000,0.0000,0.0000,0.0001,12.0253,0.0329,361,13549,0.0000,11.9592,0,0
157,192.0,free_fly,18.7337,0.0000,0.0000,0.0000,0.0000,0.0001,18.6852,0.0453,361,13549,0.0000,18.5623,0,0
158,192.0,free_fly,13.5008,0.0000,0.0000,0.0000,0.0000,0.0000,13.4787,0.0176,361,13549,0.0000,13.4293,0,0
159,192.0,free_fly,7.6772,0.0000,0.0000,0.0000,0.0000,0.0000,7.6258,0.0377,361,13549,0.0000,7.5957,0,0
160,192.0,free_fly,6.9614,0.0000,0.0000,0.0000,0.0000,0.0000,6.9262,0.0242,361,13549,0.0000,6.8960,0,0
161,192.0,free_fly,6.8435,0.0000,0.0000,0.0000,0.0000,0.0000,6.8177,0.0244,361,13549,0.0000,6.7920,0,0
162,192.0,free_fly,6.8333,0.0000,0.0000,0.0000,0.0000,0.0000,6.8077,0.0233,361,13549,0.0000,6.7809,0,0
163,192.0,free_fly,6.8139,0.0000,0.0000,0.0000,0.0000,0.0000,6.7896,0.0227,361,13549,0.0000,6.7629,0,0
164,192.0,free_fly,6.8486,0.0000,0.0000,0.0000,0.0000,0.0000,6.8262,0.0209,361,13549,0.0000,6.8000,0,0
165,192.0,free_fly,6.8247,0.0000,0.0000,0.0000,0.0000,0.0000,6.8019,0.0213,361,13549,0.0000,6.7762,0,0
166,192.0,free_fly,6.7809,0.0001,0.0000,0.0000,0.0000,0.0001,6.7671,0.0125,361,13549,0.0000,6.7426,0,0
167,192.0,free_fly,6.7936,0.0000,0.0000,0.0000,0.0000,0.0000,6.7810,0.0122,361,13549,0.0000,6.7583,0,0
168,192.0,free_fly,6.8363,0.0000,0.0000,0.0000,0.0000,0.0000,6.8240,0.0118,361,13549,0.0000,6.8016,0,0
169,192.0,free_fly,6.8156,0.0000,0.0000,0.0000,0.0000,0.0000,6.7924,0.0226,361,13549,0.0000,6.7684,0,0
170,192.0,free_fly,6.8033,0.0000,0.0000,0.0000,0.0000,0.0000,6.7793,0.0225,361,13549,0.0000,6.7542,0,0
171,192.0,free_fly,6.7528,0.0000,0.0000,0.0000,0.0000,0.0000,6.7398,0.0119,361,13549,0.0000,6.7158,0,0
172,192.0,free_fly,6.9356,0.0000,0.0000,0.0000,0.0000,0.0000,6.9120,0.0231,361,13549,0.0000,6.8874,0,0
173,192.0,free_fly,6.7965,0.0000,0.0000,0.0000,0.0000,0.0001,6.7829,0.0123,361,13549,0.0000,6.7587,0,0
174,192.0,free_fly,7.0006,0.0001,0.0000,0.0000,0.0000,0.0000,6.9770,0.0228,361,13549,0.0000,6.9507,0,0
175,192.0,free_fly,6.9129,0.0000,0.0000,0.0000,0.0000,0.0000,6.8995,0.0121,361,13549,0.0000,6.8745,0,0
176,192.0,free_fly,6.7615,0.0000,0.0000,0.0000,0.0000,0.0000,6.7507,0.0102,361,13549,0.0000,6.7272,0,0
177,192.0,free_fly,7.0155,0.0001,0.0000,0.0000,0.0000,0.0001,6.9942,0.0207,361,13549,0.0000,6.9692,0,0
178,192.0,free_fly,6.7937,0.0001,0.0000,0.0000,0.0000,0.0001,6.7810,0.0116,361,13549,0.0000,6.7571,0,0
179,192.0,free_fly,6.8659,0.0000,0.0000,0.0000,0.0000,0.0000,6.8435,0.0219,361,13549,0.0000,6.8187,0,0
180,192.0,free_fly,6.7801,0.0000,0.0000,0.0000,0.0000,0.0000,6.7668,0.0119,361,13549,0.0000,6.7427,0,0
181,192.0,free_fly,6.8249,0.0000,0.0000,0.0000,0.0000,0.0000,6.8018,0.0224,361,13549,0.0000,6.7777,0,0
182,192.0,free_fly,6.8495,0.0000,0.0000,0.0000,0.0000,0.0000,6.8363,0.0119,361,13549,0.0000,6.8121,0,0
183,192.0,free_fly,6.7342,0.0000,0.0000,0.0000,0.0000,0.0000,6.7220,0.0117,361,13549,0.0000,6.6996,0,0
184,192.0,free_fly,7.6677,0.0000,0.0000,0.0000,0.0000,0.0000,7.6447,0.0224,361,13549,0.0000,7.6176,0,0
185,192.0,free_fly,6.8868,0.0001,0.0000,0.0000,0.0000,0.0000,6.8732,0.0123,361,13549,0.0000,6.8482,0,0
186,192.0,free_fly,6.8241,0.0000,0.0000,0.0000,0.0000,0.0000,6.8025,0.0209,361,13549,0.0000,6.7776,0,0
187,192.0,free_fly,6.7795,0.0000,0.0000,0.0000,0.0000,0.0000,6.7667,0.0116,361,13549,0.0000,6.7425,0,0
188,192.0,free_fly,6.8875,0.0001,0.0000,0.0000,0.0000,0.0001,6.8664,0.0205,361,13549,0.0000,6.8422,0,0
189,192.0,free_fly,6.8758,0.0000,0.0000,0.0000,0.0000,0.0000,6.8528,0.0216,361,13549,0.0000,6.8268,0,0
190,192.0,free_fly,6.8364,0.0001,0.0000,0.0000,0.0000,0.0001,6.8128,0.0223,361,13549,0.0000,6.7874,0,0
191,192.0,free_fly,6.8426,0.0000,0.0000,0.0000,0.0000,0.0000,6.8288,0.0122,361,13549,0.0000,6.8039,0,0
